Year,Month,count,mean,std,min,25%,50%,75%,max,monthly_mean
1993,10,31,0.066070968,0.246609608,0,0,0,0.00285,1.1382,2.0482
1993,11,30,0.18639,0.682511747,0,0,0,0.00035,3.489,5.5917
1993,12,31,0.306864516,1.292095668,0,0,0,0.0062,7.0892,9.5128
1994,1,31,0.284990323,0.885377569,0,0,0.0001,0.0858,4.4936,8.8347
1994,2,28,0.264060714,0.632577947,0,0,0.00095,0.046,2.2716,7.3937
1994,3,31,0.271896774,0.754286504,0,0,0.0034,0.0745,3.4866,8.4288
1994,4,30,0.14744,0.470555481,0,0,0.00015,0.06115,2.4848,4.4232
1994,5,31,0.037980645,0.152122717,0,0,0,0.001,0.8021,1.1774
1994,6,30,0.069113333,0.181609091,0,0,0,0.018275,0.7078,2.0734
1994,7,31,0.172529032,0.432899237,0,0,0.0002,0.08025,1.7566,5.3484
1994,8,31,0.207070968,0.760131201,0,0,0.0001,0.01245,4.1394,6.4192
1994,9,30,0.011246667,0.03487374,0,0,0,0,0.1615,0.3374
1994,10,31,0.040435484,0.110908877,0,0,0,0.01005,0.5392,1.2535
1994,11,30,0.051743333,0.134653432,0,0,0,0.0001,0.52,1.5523
1994,12,31,0.066045161,0.167090422,0,0,0,0.01475,0.64,2.0474
1995,1,31,0.470112903,1.990754314,0,0,0.0023,0.01715,10.9669,14.5735
1995,2,28,0.224760714,0.917747298,0,0,5.00E-05,0.001825,4.8222,6.2933
1995,3,31,0.074629032,0.204266016,0,0,0,0.00175,0.8807,2.3135
1995,4,30,0.019356667,0.083847648,0,0,0.0002,0.00085,0.4589,0.5807
1995,5,31,0.228687097,0.52295205,0,0,0,0.11245,2.1693,7.0893
1995,6,30,1.130956667,3.398206151,0,0,0.006,0.33305,17.7875,33.9287
1995,7,31,0.158241935,0.540998704,0,0,0.0001,0.02985,2.83,4.9055
1995,8,31,0.040893548,0.223978432,0,0,0,5.00E-05,1.2476,1.2677
1995,9,30,0.060976667,0.223960773,0,0,0,0.002675,1.2062,1.8293
1995,10,31,0.187151613,0.648766407,0,0,0,0.00305,3.468,5.8017
1995,11,30,0.191326667,0.630699959,0,0,0.0001,0.015275,3.1263,5.7398
1995,12,31,0.038851613,0.120324985,0,0,0,0.00625,0.6516,1.2044
1996,1,31,0.526377419,1.768683654,0,0,0.001,0.08505,8.634,16.3177
1996,2,29,0.243213793,0.75418843,0,0,0.001,0.0367,3.2406,7.0532
1996,3,31,0.186796774,0.588332951,0,0,0,0.00345,2.5796,5.7907
1996,4,30,0.064406667,0.188836085,0,0,0.0001,0.036725,1.0057,1.9322
1996,5,31,0.126129032,0.301211226,0,0,0.0005,0.0867,1.4155,3.91
1996,6,30,0.399233333,1.0621473,0,0,0,0.0798,4.2159,11.977
1996,7,31,0.165903226,0.430701517,0,0,0,0.04465,1.9397,5.143
1996,8,31,0.562135484,2.401332334,0,0,0.0002,0.0751,13.3037,17.4262
1996,9,30,1.239266667,3.834340448,0,0,0.01735,0.141925,20.2889,37.178
1996,10,31,0.102164516,0.429229745,0,0,0,0.00655,2.3152,3.1671
1996,11,30,0.409586667,1.916897412,0,0,0.00015,0.005875,10.5278,12.2876
