,,0-10cm,0-10cm,0-10cm,0-10cm,0-10cm,0-10cm,0-10cm,0-10cm,10-40cm,10-40cm,10-40cm,10-40cm,10-40cm,10-40cm,10-40cm,10-40cm,40-100cm,40-100cm,40-100cm,40-100cm,40-100cm,40-100cm,40-100cm,40-100cm,100-200cm,100-200cm,100-200cm,100-200cm,100-200cm,100-200cm,100-200cm,100-200cm,0-100cm,0-100cm,0-100cm,0-100cm,0-100cm,0-100cm,0-100cm,0-100cm,0-200cm,0-200cm,0-200cm,0-200cm,0-200cm,0-200cm,0-200cm,0-200cm
,,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max
1982,12,31,29.23516129,2.873212918,25.57,26.97,28.76,31.145,35.41,31,82.86387097,4.574378411,77.22,79.48,81.44,85.245,94.33,31,170.1677419,4.326691353,163.6,166.6,169.5,173.25,178.5,31,292.8806452,2.970456683,285.4,291.3,292.7,294.25,298.2,31,282.2580645,9.120225662,266.9,274.65,283,287.85,300.8,31,575.1419355,9.662393568,555.8,567.95,576.4,580.8,593.7
1983,1,31,31.19612903,5.728465575,25.45,27.025,28.41,34.05,44.01,31,76.72225806,4.744603749,69.99,73.715,75.44,79.47,88.22,31,155.0387097,4.470993731,148.3,150.35,156.9,158.45,161.8,31,278.2129032,5.061471587,270,274.45,278,282.1,287.6,31,262.9580645,5.499683275,254.4,259.15,262.8,266.85,272,31,541.1516129,6.092884974,530,536.85,542.2,544.8,552.2
1983,2,28,35.11892857,6.475105227,28.04,29.27,32.165,41.7725,45.81,28,84.38928571,5.964260178,76.67,78.115,83.58,90.5525,93.61,28,166.5928571,5.888087696,152.2,161.725,168.4,171.625,174.1,28,280.9357143,5.543311905,269.4,279.7,280.8,283.425,290.5,28,286.1,7.769980218,268.4,280.775,283.9,290.2,302.1,28,567.0428571,9.625330339,538,561.6,565.95,574.95,581.8
1983,3,31,28.15548387,1.992112511,24.78,26.885,28.01,29.29,33.48,31,83.85322581,4.947603721,77.93,79.93,83.74,86.705,97.12,31,171.3354839,6.637647595,163,166,170.2,173.7,188.5,31,294.6290323,8.603533908,285.4,287.85,289.3,302.85,308.8,31,283.3483871,12.13232242,266.3,274,283.7,287.6,316.3,31,577.9645161,18.0220522,554,562.25,572.2,592.25,611.4
1983,4,30,28.73566667,1.784710318,26.02,27.6775,28.305,29.49,33.65,30,86.97233333,5.424197181,78.07,83.8925,86.48,89.4275,101.1,30,178.6766667,6.130066284,167.9,174.525,178.7,181.275,193,30,308.5933333,6.287477063,298.6,304.875,307.45,311.35,323,30,294.3933333,12.08295846,275.7,286.475,293.55,301.05,327.4,30,602.9666667,14.98892311,578.6,592.375,602.7,609.775,637.1
1983,5,31,26.86225806,1.352061906,24.97,25.83,26.4,27.615,29.81,31,81.02548387,3.441685477,75.88,78.765,81.05,83.37,88.25,31,164.5387097,3.843061056,158,161.15,164.9,167.4,170.5,31,284.8935484,7.464848089,277.3,279.55,280.8,289.35,302.5,31,272.4193548,7.338774619,259.3,268.05,273.6,276.85,286.5,31,557.3,9.86701576,540.3,550.15,557.3,563.3,579.3
1983,6,30,27.16733333,1.263757215,25.22,26.2225,26.92,28.195,29.72,30,81.97633333,2.884888671,77.77,79.935,81.485,83.8675,88.64,30,163.89,3.172875341,159,160.7,164.55,166.1,169.2,30,274.5966667,3.197357026,270.2,271.675,274.1,277.925,279.4,30,273.0333333,6.301413817,263.5,267.575,272.2,278,285.7,30,547.6333333,7.41058578,536.8,540.15,549.6,554.575,557.5
1983,7,31,24.68677419,1.69237188,22.03,23.355,24.44,25.89,28.32,31,75.00903226,3.960840277,68.56,71.88,74.75,78.645,82.66,31,150.083871,6.596215924,142,144.65,147.9,156.3,161.2,31,253.6,11.3010324,235,243.95,253.4,263.85,270.7,31,249.783871,10.86845885,233.6,241.1,248.2,258.15,271.3,31,503.3741935,21.05334443,473.1,486.6,495.4,521.95,542
1983,8,31,23.52741935,1.133860567,21.7,22.82,23.37,24.235,26.43,31,70.00193548,2.285021399,66.47,68.1,69.88,71.685,74.13,31,135.3870968,4.567110095,127.8,131.1,136.2,139.55,142.2,31,219.4129032,9.267568611,204,211.45,219.5,227.4,233.8,31,228.9064516,7.224123268,217.7,221.65,229.9,235.75,241.3,31,448.3225806,16.32173826,421.7,433.05,449.4,462.3,473.3
1983,9,30,22.70433333,1.799029783,19.91,21.3225,22.51,24.105,27.35,30,67.172,3.212327977,61.56,64.6575,67.605,69.665,72.81,30,123.6866667,1.654197031,120.8,123,123.75,124.1,127.4,30,191.5633333,6.063086919,183.4,186.675,190.65,196.225,203.1,30,213.56,4.924856028,203.2,210.825,214.9,217.025,220,30,405.1166667,6.356700691,395.6,400.3,404.3,409.025,419.8
1983,10,31,26.65419355,3.191950056,21.7,24.835,26.25,28.49,33.77,31,80.12903226,8.965388765,66.95,72.25,80.09,87.045,97.52,31,150.4709677,20.58864078,124.4,126.55,155.4,167.45,186.4,31,203.3419355,29.34134482,180.1,182,188.2,218.2,261.4,31,257.2516129,30.93518893,214.8,222.6,263.7,278.1,312.2,31,460.5774194,54.488731,395,405.95,453.4,525.2,538.7
1983,11,30,27.28766667,1.881211428,24.69,25.27,27.2,28.7075,30.61,30,81.96,4.757960299,74.31,78.1075,81.95,84.93,91.72,30,165.74,5.614304391,156.2,161.225,166.25,169.125,174.6,30,273.8566667,8.357638808,262.7,265.725,273.1,280.05,290,30,274.9866667,11.38170745,256.3,265.85,275.9,283.375,293.5,30,548.83,18.50148456,522,529.3,551.3,558.325,579.8
1983,12,31,33.10935484,6.674508189,26.68,28.625,29.68,39.21,45.81,31,81.42774194,6.446036875,71.64,76.53,81.05,85.08,93.34,31,170.3483871,8.511242407,155,163.4,171.8,176.3,184.1,31,298.2741935,6.243074443,286.8,292.05,299.4,303.25,307.7,31,284.883871,10.18008175,272,277.1,281.8,292.65,306.5,31,583.1548387,13.46070426,565.5,572.05,581.1,595.2,610
1984,1,31,42.77548387,3.281683347,35.49,40.605,43.64,45.71,45.81,31,101.9570968,9.301717832,76.5,98.93,100.8,107.4,116.3,31,153.516129,3.089886381,147.7,151.45,152.9,155.5,159.6,31,275.8612903,3.873041649,269.7,273.25,275.9,277.8,284.4,31,298.2612903,7.586377151,268.1,297.9,300,302.9,305.1,31,574.1193548,6.735597937,541.8,573.15,575.8,577.15,580.9
1984,2,29,31.29344828,3.947984364,26.31,27.98,29.97,34.17,39.86,29,102.6389655,14.39681595,80.37,88.14,110.2,114.1,128,29,168.7,14.8101799,151.6,153.7,174,180.5,195.2,29,287.5655172,19.77359848,267.5,268.2,282.2,307,313.5,29,302.637931,12.80363826,284.8,296.4,300.7,303.5,339.2,29,590.2103448,20.45403112,564.9,570.2,596.2,608.3,622.4
1984,3,31,30.01612903,3.626151934,26.2,27.365,28.65,31.37,37.73,31,83.54935484,4.753869957,76.16,79.66,83.5,86.77,94.27,31,169.7483871,5.007385943,163.3,166.15,168.5,172.3,182.2,31,295.0612903,5.106575984,288.4,291,294.2,297.25,307.8,31,283.3129032,8.020338394,272.2,277.3,283.3,286.6,305.9,31,578.3935484,10.37763414,561.8,569.95,578.8,583.25,601.8
1984,4,30,27.69266667,1.431803621,25.86,26.7125,27.355,28.755,31.37,30,84.57766667,3.07148474,80.28,81.9225,83.88,86.0625,91.34,30,172.8733333,3.132580002,166.7,170.925,172.4,174.65,178.9,30,298.4833333,2.824289149,291.6,297.05,298.75,300.575,303,30,285.1433333,6.668230564,274.3,279.8,284.1,289.9,299.5,30,583.6266667,8.28613022,566.3,578.875,584.05,589.425,599
1984,5,31,27.43,1.707134051,25.14,26.04,26.89,28.74,31.29,31,82.75290323,4.708502376,76.89,79.115,81.39,86.485,94.08,31,167.5741935,6.595552428,159.4,161.8,166.7,170.35,181.9,31,288.5032258,7.336188105,277.2,282.15,288.6,294.25,300.1,31,277.7548387,11.84111027,262.9,267.4,277.7,284.8,304.8,31,566.2709677,16.06138627,542.7,553.7,563.8,575.9,596.5
1984,6,30,24.70233333,1.038014296,22.93,23.965,24.675,25.4575,26.86,30,74.92533333,3.170448389,70.47,72.8,74.275,76.27,82.64,30,153.2066667,7.649923747,144.6,145.925,151.6,158.575,169.1,30,264.1733333,10.76453094,247.6,254.55,263.8,273.75,280,30,252.84,11.24006381,239.8,244,248.8,259.575,278.6,30,517.0233333,21.57860823,491.6,497.625,512.6,533.325,558.5
1984,7,31,26.91645161,1.146811663,25.06,26.085,26.68,27.575,29.59,31,80.24548387,2.54527646,76.15,78.205,79.98,81.965,85.47,31,153.7483871,4.256201042,145.1,151.1,153.9,157.65,160.3,31,242.1032258,2.432212144,238.4,240.2,242.1,243.85,247,31,260.9064516,6.45476235,251.4,255.5,261.6,265.8,273.5,31,503.0193548,6.273245803,491.6,498.1,503.3,507.45,515.5
1984,8,31,26.52354839,2.066095429,24.25,25.165,25.76,27.095,32.12,31,79.63870968,5.569982491,74.18,76.02,77.16,81.145,93.27,31,157.4967742,7.201040845,149.8,151.75,155.3,161.3,173.4,31,251.2935484,6.370763193,242.6,245.2,252,257.3,260,31,263.6645161,13.30805642,251,253.35,257.1,269.8,293.1,31,514.9419355,15.48030521,495,503.75,509.5,529.3,544.1
1984,9,30,24.59733333,1.952577312,22.09,23.0425,24.185,25.9,28.58,30,75.12566667,5.554803254,68.51,70.4175,73.46,78.8075,87.04,30,153.1733333,8.425123895,142.4,145.6,151.8,160.625,167,30,252.47,4.926084687,244.5,248.15,253.45,256.825,258.5,30,252.89,15.61500936,233.4,239.475,249,264.9,282.2,30,505.3533333,19.55538083,478.4,486.8,503.45,523.4,534.5
1984,10,31,25.27709677,1.751900289,23.13,23.88,25.08,26.07,31.3,31,76.64516129,4.016587997,71.25,73.375,76.23,78.65,87.52,31,151.5322581,3.454310071,146.4,148.85,151.1,154.2,157.8,31,246.783871,1.040543696,244.4,246.15,246.6,247.6,248.4,31,253.4451613,7.462923409,241.2,247.55,253.4,256.75,269.3,31,500.2387097,7.023658943,487.4,495.4,500.4,504.25,514
