,Year,Month,count,mean,std,min,25%,50%,75%,max,monthly_mean,YYYY/MO
58,1985,11,30.0,0.4201766666666667,1.013158459432452,0.0,0.0,0.00105,0.30165,4.0242,12.605300000000002,1985/11
59,1985,12,31.0,0.0169645161290322,0.0866920740259726,0.0,0.0,0.0,5e-05,0.4836,0.5258999999999983,1985/12
60,1986,1,31.0,0.0064870967741935,0.0247714316896902,0.0,0.0,0.0,0.00045,0.1354,0.20109999999999847,1986/1
61,1986,2,28.0,0.04695,0.1245117085078971,0.0,0.0,0.00165,0.02975,0.636,1.3146,1986/2
62,1986,3,31.0,0.0316806451612903,0.102627236213898,0.0,0.0,0.0,0.0001,0.4208,0.9820999999999993,1986/3
63,1986,4,30.0,0.0376866666666666,0.0894602579200755,0.0,0.0,0.0,0.00075,0.3201,1.1305999999999978,1986/4
64,1986,5,31.0,0.1609,0.4971781156352988,0.0,0.0,0.0,0.0279,2.6266,4.9879,1986/5
65,1986,6,30.0,0.0062166666666666,0.0251702764405152,0.0,0.0,0.0,0.0,0.1279,0.186499999999998,1986/6
66,1986,7,31.0,0.0319516129032258,0.0580120037634036,0.0,0.0,0.0,0.0432,0.1896,0.9904999999999997,1986/7
67,1986,8,31.0,0.1543967741935484,0.5608210674144777,0.0,0.0,0.0153,0.0635,3.1102,4.7863,1986/8
68,1986,9,30.0,0.1016266666666666,0.2926067208002428,0.0,0.0,0.0,0.0055499999999999,1.4458,3.048799999999998,1986/9
69,1986,10,31.0,0.0653354838709677,0.1862112287133209,0.0,0.0,0.0,0.0002,0.766,2.0253999999999985,1986/10
70,1986,11,30.0,0.14437,0.4151902265725667,0.0,0.0,0.0007,0.0601,2.0533,4.3311,1986/11
71,1986,12,31.0,0.1697322580645161,0.4560836351570451,0.0,0.0,0.0,0.03185,2.0406,5.261699999999999,1986/12
72,1987,1,31.0,0.0560387096774193,0.1747651522804615,0.0,0.0,0.0002,0.0089,0.9052,1.7371999999999983,1987/1
73,1987,2,28.0,0.1172142857142857,0.2910269959659282,0.0,0.0,0.00025,0.086425,1.4485,3.2819999999999996,1987/2
74,1987,3,31.0,0.1912516129032258,0.5143836135745173,0.0,0.0,0.0002,0.03625,2.1466,5.928799999999999,1987/3
75,1987,4,30.0,0.91656,2.463298665946777,0.0,0.0,0.0002,0.2032,10.3673,27.4968,1987/4
76,1987,5,31.0,0.0823032258064516,0.2205610761729745,0.0,0.0,0.0,0.01925,1.0671,2.5513999999999992,1987/5
77,1987,6,30.0,0.01903,0.0354902040879859,0.0,0.0,0.0,0.016275,0.1298,0.5709,1987/6
78,1987,7,31.0,0.1484548387096774,0.3103286900891908,0.0,0.0,0.0004,0.12765,1.2848,4.602099999999999,1987/7
79,1987,8,31.0,0.0236129032258064,0.0784516145656479,0.0,0.0,0.0,0.0029,0.4194,0.7319999999999983,1987/8
80,1987,9,30.0,0.34217,0.8493356016566005,0.0,0.0,0.0,0.29745,4.2279,10.265099999999999,1987/9
81,1987,10,31.0,0.0346,0.140485230540438,0.0,0.0,0.0,0.0,0.7515,1.0726,1987/10
82,1987,11,30.0,0.1927233333333333,0.6577942963672863,0.0,0.0,0.0,0.013325,3.3225,5.781699999999999,1987/11
83,1987,12,31.0,0.0718612903225806,0.1702912048568947,0.0,0.0,0.0,0.0024,0.6954,2.2276999999999987,1987/12
84,1988,1,31.0,0.0244516129032258,0.0596773540017078,0.0,0.0,0.0,0.00615,0.2595,0.7579999999999998,1988/1
85,1988,2,29.0,0.0161310344827586,0.0634353501237299,0.0,0.0,0.0,0.0017,0.3411,0.4677999999999994,1988/2
86,1988,3,31.0,0.0138870967741935,0.0608118011679503,0.0,0.0,0.0,0.0013,0.3379,0.43049999999999855,1988/3
87,1988,4,30.0,0.0941266666666666,0.2019238554562061,0.0,0.0,0.0003,0.040475,0.777,2.8237999999999976,1988/4
88,1988,5,31.0,0.0426225806451612,0.1025672907889495,0.0,0.0,0.0001,0.04505,0.5351,1.3212999999999973,1988/5
89,1988,6,30.0,0.1330466666666666,0.3137143371497919,0.0,0.0,0.0,0.020725,1.1543,3.991399999999998,1988/6
90,1988,7,31.0,0.198674193548387,0.5010631397124464,0.0,0.0,0.0003,0.0846,2.2671,6.158899999999997,1988/7
91,1988,8,31.0,0.2134290322580645,0.5967900346540361,0.0,0.0,0.0066,0.0713,3.0357,6.6163,1988/8
92,1988,9,30.0,0.06686,0.2235679601990996,0.0,0.0,0.0,0.014575,0.9188,2.0058000000000002,1988/9
93,1988,10,31.0,0.0178322580645161,0.0650423676644527,0.0,0.0,0.0,0.0,0.3463,0.5527999999999992,1988/10
94,1988,11,30.0,0.1391733333333333,0.4208128201578411,0.0,0.0,5e-05,0.005375,2.1044,4.1751999999999985,1988/11
95,1988,12,31.0,0.0280903225806451,0.1339936052077081,0.0,0.0,0.0,0.0,0.7451,0.870799999999998,1988/12
96,1989,1,31.0,0.0411032258064516,0.1129558216999636,0.0,0.0,0.0001,0.00785,0.5464,1.2741999999999996,1989/1
97,1989,2,28.0,0.0179285714285714,0.0378822234978737,0.0,0.0,0.0009,0.0149,0.152,0.5019999999999992,1989/2
98,1989,3,31.0,0.0634548387096774,0.1761058220478238,0.0,0.0,0.0001,0.02265,0.9034,1.9670999999999994,1989/3
99,1989,4,30.0,0.1171166666666666,0.2956970981436488,0.0,0.0,0.00085,0.065675,1.4664,3.5134999999999983,1989/4
100,1989,5,31.0,0.2863838709677419,0.734270295416601,0.0,0.0,0.0,0.01315,3.4518,8.8779,1989/5
101,1989,6,30.0,0.2924733333333333,0.4684368650157105,0.0,0.000575,0.03745,0.5357000000000001,1.902,8.774199999999999,1989/6
102,1989,7,31.0,0.3554645161290322,0.9156107843213684,0.0,5e-05,0.026,0.1878,4.7491,11.019399999999997,1989/7
103,1989,8,31.0,0.0300387096774193,0.0987704735820017,0.0,0.0,0.0,0.00345,0.4324,0.9311999999999984,1989/8
104,1989,9,30.0,0.7129466666666667,2.002190979166941,0.0,0.0,0.0015,0.1117249999999999,9.68,21.3884,1989/9
105,1989,10,31.0,0.1291645161290322,0.3916863435185415,0.0,0.0,0.0,5e-05,1.6565,4.004099999999998,1989/10
106,1989,11,30.0,0.2643766666666666,1.3891500543766728,0.0,0.0,0.00105,0.0101,7.6184,7.931299999999998,1989/11
107,1989,12,31.0,0.0373645161290322,0.1158688930023559,0.0,0.0,0.0,0.01,0.5582,1.1582999999999983,1989/12
108,1990,1,31.0,0.0351419354838709,0.0960083669068953,0.0,0.0,0.0013,0.00815,0.4711,1.089399999999998,1990/1
109,1990,2,28.0,0.0882035714285714,0.1932335518028069,0.0,0.0,0.0003,0.072175,0.897,2.469699999999999,1990/2
110,1990,3,31.0,0.0847096774193548,0.1836957944625456,0.0,0.0,0.0003,0.02915,0.7397,2.6259999999999986,1990/3
111,1990,4,30.0,0.0590099999999999,0.1049558440816734,0.0,0.0,0.0003,0.063525,0.3368,1.770299999999997,1990/4
